Aaosphaeria arxii, fungi
Absidia glauca, fungi
Absidia repens, fungi
Absidia sp. ASU-2020a, fungi
Absidia sp. UoMAU379, fungi
Acaromyces ingoldii, fungi
Acaulopage tetraceros, fungi
Acephala macrosclerotiorum, fungi
Aciculoconidium aculeatum, fungi
Aciculosporium take, fungi
Acidiella bohemica, fungi
Acidomyces sp. richmondensis , fungi
Acremonium chrysogenum, fungi
Acremonium sp. FKII-L8-BK-P5, fungi
Actinomortierella ambigua, fungi
Actinomortierella wolfii, fungi
Actinomucor elegans, fungi
Aeminium ludgeri, fungi
Agaricales sp. HM26-F1, fungi
Agaricus bisporus, fungi
Agrocybe aegerita, fungi
Agrocybe cylindracea, fungi
Agrocybe pediades, fungi
Akanthomyces lecanii, fungi
Albatrellus ellisii, fungi
Albatrellus sp. MG142, fungi
Albifimbria verrucaria, fungi
Albophoma yamanashiensis, fungi
Alectoria fallacina, fungi
Alectoria sarmentosa, fungi
Alloascoidea hylecoeti, fungi
Allomyces macrogynus, fungi
Alternaria alstroemeriae, fungi
Alternaria alternata, fungi
Alternaria arborescens, fungi
Alternaria atra, fungi
Alternaria brassicae, fungi
Alternaria brassicicola, fungi
Alternaria burnsii, fungi
Alternaria consortialis, fungi
Alternaria gaisen, fungi
Alternaria gansuensis, fungi
Alternaria longipes, fungi
Alternaria panax, fungi
Alternaria solani, fungi
Alternaria sp. MG1, fungi
Alternaria tenuissima, fungi
Amanita bisporigera, fungi
Amanita brunnescens, fungi
Amanita inopinata, fungi
Amanita jacksonii, fungi
Amanita muscaria, fungi
Amanita phalloides, fungi
Amanita polypyramis, fungi
Amanita pseudoporphyria, fungi
Amanita rubescens, fungi
Amanita subjunquillea, fungi
Amanita thiersii, fungi
Amauroascus mutatus, fungi
Amauroascus niger, fungi
Amauroderma rugosum, fungi
Ambrosiella cleistominuta, fungi
Ambrosiella xylebori, fungi
Ambrosiozyma ambrosiae, fungi
Ambrosiozyma kashinagicola, fungi
Ambrosiozyma maleeae nom. inval. , fungi
Ambrosiozyma monospora, fungi
Ambrosiozyma oregonensis nom. inval. , fungi
Ambrosiozyma philentoma, fungi
Ambrosiozyma pseudovanderkliftii, fungi
Ambrosiozyma vanderkliftii, fungi
Amesia nigricolor, fungi
Amniculicola lignicola, fungi
Amoeboradix gromovi, fungi
Amorphotheca resinae, fungi
Ampelomyces quisqualis, fungi
Amphiamblys sp. WSBS2006, fungi
Amphirosellinia nigrospora, fungi
Amylocarpus encephaloides, fungi
Amylostereum areolatum, fungi
Anaeromyces robustus, fungi
Anncaliia algerae, fungi
Annulohypoxylon stygium, fungi
Annulohypoxylon truncatum, fungi
Antarctomyces pellizariae, fungi
Anthracocystis panici-leucophaei, fungi
Antonospora locustae, fungi
Antrodiella citrinella, fungi
Aotearoamyces nothofagi, fungi
Apiospora pterosperma, fungi
Apiotrichum akiyoshidainum, fungi
Apiotrichum brassicae, fungi
Apiotrichum domesticum, fungi
Apiotrichum gamsii, fungi
Apiotrichum gracile, fungi
Apiotrichum laibachii, fungi
Apiotrichum montevideense, fungi
Apiotrichum mycotoxinovorans, fungi
Apiotrichum porosum, fungi
Apiotrichum veenhuisii, fungi
Aplosporella prunicola, fungi
Apophysomyces elegans, fungi
Apophysomyces ossiformis, fungi
Apophysomyces sp. BC1015, fungi
Apophysomyces sp. BC1021, fungi
Apophysomyces sp. BC1034, fungi
Apophysomyces trapeziformis, fungi
Apophysomyces variabilis, fungi
Aquanectria penicillioides, fungi
Arachnopeziza araneosa, fungi
Armillaria borealis, fungi
Armillaria cepistipes, fungi
Armillaria fuscipes, fungi
Armillaria gallica, fungi
Armillaria ostoyae, fungi
Armillaria solidipes, fungi
Arthonia radiata, fungi
Arthrinium malaysianum, fungi
Arthrinium phaeospermum, fungi
Arthrinium saccharicola, fungi
Arthrinium sp. KUC21332, fungi
Arthrobotrys entomopaga, fungi
Arthrobotrys flagrans, fungi
Arthrocladium fulminans, fungi
Arthroderma uncinatum, fungi
Arthromyces matolae, fungi
Articulospora tetracladia, fungi
Ascobolus immersus, fungi
Ascochyta fabae, fungi
Ascochyta koolunga, fungi
Ascochyta lentis, fungi
Ascochyta rabiei, fungi
Ascochyta viciae-villosae, fungi
Ascochyta viciae, fungi
Ascocoryne sarcoides, fungi
Ascodesmis nigricans, fungi
Ascoidea asiatica, fungi
Ascoidea rubescens, fungi
Ascosphaera apis, fungi
Aspergillus aculeatinus, fungi
Aspergillus aculeatus, fungi
Aspergillus aff. floccosus IMV 01167, fungi
Aspergillus alliaceus, fungi
Aspergillus amoenus, fungi
Aspergillus arachidicola, fungi
Aspergillus avenaceus, fungi
Aspergillus awamori, fungi
Aspergillus bertholletiae, fungi
Aspergillus bombycis, fungi
Aspergillus brasiliensis, fungi
Aspergillus brunneoviolaceus, fungi
Aspergillus brunneus, fungi
Aspergillus burnettii, fungi
Aspergillus caelatus, fungi
Aspergillus calidoustus, fungi
Aspergillus campestris, fungi
Aspergillus candidus, fungi
Aspergillus carbonarius, fungi
Aspergillus cejpii, fungi
Aspergillus chevalieri, fungi
Aspergillus clavatus, fungi
Aspergillus coremiiformis, fungi
Aspergillus costaricensis, fungi
Aspergillus cristatus, fungi
Aspergillus croceus, fungi
Aspergillus elegans, fungi
