Aaosphaeria arxii, fungi
Acaromyces ingoldii, fungi
Agaricus bisporus, fungi
Alternaria alternata, fungi
Alternaria arborescens, fungi
Alternaria atra, fungi
Alternaria burnsii, fungi
Amorphotheca resinae, fungi
Apiotrichum porosum, fungi
Aplosporella prunicola, fungi
Arthroderma uncinatum, fungi
Ascochyta rabiei, fungi
Ascoidea rubescens, fungi
Aspergillus aculeatinus, fungi
Aspergillus aculeatus, fungi
Aspergillus alliaceus, fungi
Aspergillus bombycis, fungi
Aspergillus brunneoviolaceus, fungi
Aspergillus caelatus, fungi
Aspergillus campestris, fungi
Aspergillus candidus, fungi
Aspergillus chevalieri, fungi
Aspergillus clavatus, fungi
Aspergillus costaricensis, fungi
Aspergillus eucalypticola, fungi
Aspergillus fijiensis, fungi
Aspergillus fischeri, fungi
Aspergillus flavus, fungi
Aspergillus fumigatus, fungi
Aspergillus glaucus, fungi
Aspergillus heteromorphus, fungi
Aspergillus homomorphus, fungi
Aspergillus ibericus, fungi
Aspergillus japonicus, fungi
Aspergillus lentulus, fungi
Aspergillus luchuensis, fungi
Aspergillus mulundensis, fungi
Aspergillus neoniger, fungi
Aspergillus nidulans, fungi
Aspergillus niger, fungi
Aspergillus nomiae, fungi
Aspergillus novofumigatus, fungi
Aspergillus ochraceoroseus, fungi
Aspergillus oryzae, fungi
Aspergillus piperis, fungi
Aspergillus pseudonomiae, fungi
Aspergillus pseudotamarii, fungi
Aspergillus pseudoviridinutans, fungi
Aspergillus puulaauensis, fungi
Aspergillus ruber, fungi
Aspergillus saccharolyticus, fungi
Aspergillus sclerotioniger, fungi
Aspergillus steynii, fungi
Aspergillus sydowii, fungi
Aspergillus tanneri, fungi
Aspergillus terreus, fungi
Aspergillus thermomutatus, fungi
Aspergillus tubingensis, fungi
Aspergillus udagawae, fungi
Aspergillus uvarum, fungi
Aspergillus vadensis, fungi
Aspergillus versicolor, fungi
Aspergillus viridinutans, fungi
Aspergillus welwitschiae, fungi
Aspergillus wentii, fungi
Aureobasidium melanogenum, fungi
Aureobasidium namibiae, fungi
Aureobasidium pullulans, fungi
Aureobasidium subglaciale, fungi
Auricularia subglabra, fungi
Babjeviella inositovora, fungi
Bacidia gigantensis, fungi
Batrachochytrium dendrobatidis, fungi
Baudoinia panamericana, fungi
Beauveria bassiana, fungi
Bipolaris maydis, fungi
Bipolaris oryzae, fungi
Bipolaris sorokiniana, fungi
Bipolaris victoriae, fungi
Bipolaris zeicola, fungi
Blastomyces gilchristii, fungi
Botrytis byssoidea, fungi
Botrytis cinerea, fungi
Botrytis deweyae, fungi
Botrytis fragariae, fungi
Botrytis porri, fungi
Botrytis sinoallii, fungi
Brettanomyces bruxellensis, fungi
Brettanomyces nanus, fungi
Candida albicans, fungi
Candida dubliniensis, fungi
Candida orthopsilosis, fungi
Candida parapsilosis, fungi
Candida tropicalis, fungi
Candida viswanathii, fungi
Cantharellus anzutake, fungi
Capronia coronata, fungi
Capronia epimyces, fungi
Ceraceosorus guamensis, fungi
Cercospora beticola, fungi
Cercospora kikuchii, fungi
Chaetomium globosum, fungi
Chaetomium thermophilum, fungi
Cladophialophora bantiana, fungi
Cladophialophora carrionii, fungi
Cladophialophora immunda, fungi
Cladophialophora psammophila, fungi
Cladophialophora yegresii, fungi
Clavispora lusitaniae, fungi
Coccidioides immitis, fungi
Coccidioides posadasii, fungi
Colletotrichum aenigma, fungi
Colletotrichum fioriniae, fungi
Colletotrichum fructicola, fungi
Colletotrichum graminicola, fungi
Colletotrichum higginsianum, fungi
Colletotrichum karsti, fungi
Colletotrichum orchidophilum, fungi
Colletotrichum scovillei, fungi
Colletotrichum siamense, fungi
Colletotrichum truncatum, fungi
Coniophora puteana, fungi
Coniosporium apollinis, fungi
Coprinopsis cinerea, fungi
Cordyceps fumosorosea, fungi
Cordyceps militaris, fungi
Cryphonectria parasitica, fungi
Cryptococcus amylolentus, fungi
Cryptococcus gattii VGI, fungi
Cryptococcus neoformans, fungi
Cryptococcus wingfieldii, fungi
Cucurbitaria berberidis, fungi
Cutaneotrichosporon oleaginosum, fungi
Cyberlindnera jadinii, fungi
Cyphellophora europaea, fungi
Dacryopinax primogenitus, fungi
Dactylellina haptotyla, fungi
Daldinia childiae, fungi
Debaryomyces fabryi, fungi
Debaryomyces hansenii, fungi
Diaporthe batatas, fungi
Diaporthe citri, fungi
Dichomitus squalens, fungi
Didymella exigua, fungi
Diplodia corticola, fungi
Dissoconium aciculare, fungi
Diutina rugosa, fungi
Dothidotthia symphoricarpi, fungi
Drechmeria coniospora, fungi
Encephalitozoon cuniculi, fungi
Encephalitozoon hellem, fungi
Encephalitozoon intestinalis, fungi
Encephalitozoon romaleae, fungi
Endocarpon pusillum, fungi
Enterocytozoon bieneusi, fungi
Eremomyces bilateralis, fungi
Eremothecium cymbalariae, fungi
Eremothecium gossypii, fungi
Eremothecium sinecaudum, fungi
Eutypa lata, fungi
Exophiala aquamarina, fungi
Exophiala dermatitidis, fungi
Exophiala mesophila, fungi
Exophiala oligosperma, fungi
Exophiala spinifera, fungi
Exophiala xenobiotica, fungi
Exserohilum turcicum, fungi
Fibroporia radiculosa, fungi
Fomitiporia mediterranea, fungi
Fonsecaea erecta, fungi
Fonsecaea monophora, fungi
Fonsecaea multimorphosa, fungi
Fonsecaea nubica, fungi
Fonsecaea pedrosoi, fungi
Fusarium coffeatum, fungi
Fusarium fujikuroi, fungi
Fusarium graminearum, fungi
Fusarium mangiferae, fungi
Fusarium musae, fungi
Fusarium odoratissimum, fungi
Fusarium oxysporum, fungi
Fusarium poae, fungi
Fusarium proliferatum, fungi
Fusarium pseudograminearum, fungi
Fusarium subglutinans, fungi
Fusarium tjaetaba, fungi
Fusarium vanettenii, fungi
Fusarium venenatum, fungi
Fusarium verticillioides, fungi
Gaeumannomyces tritici, fungi
Geosmithia morbida, fungi
Glarea lozoyensis, fungi
Gloeophyllum trabeum, fungi
Grosmannia clavigera, fungi
Guyanagaster necrorhizus, fungi
Heterobasidion irregulare, fungi
Hirsutella rhossiliensis, fungi
Histoplasma capsulatum, fungi
Hyaloscypha bicolor, fungi
Hyphopichia burtonii, fungi
Jaminaea rosea, fungi
Kalmanozyma brasiliensis, fungi
Kazachstania africana, fungi
Kazachstania barnettii, fungi
Kazachstania naganishii, fungi
Kluyveromyces lactis, fungi
Kluyveromyces marxianus, fungi
Kockovaella imperatae, fungi
Komagataella phaffii, fungi
Kuraishia capsulata, fungi
Kwoniella bestiolae, fungi
Kwoniella dejecticola, fungi
Kwoniella mangrovensis, fungi
Kwoniella pini, fungi
Kwoniella shandongensis, fungi
Laccaria bicolor, fungi
Lachancea lanzarotensis, fungi
Lachancea thermotolerans, fungi
Lachnellula hyalina, fungi
Laetiporus sulphureus, fungi
Lasiodiplodia theobromae, fungi
Leptosphaeria maculans, fungi
Letharia columbiana, fungi
Letharia lupina, fungi
Linderina pennispora, fungi
Lindgomyces ingoldianus, fungi
Lobosporangium transversale, fungi
Lodderomyces elongisporus, fungi
Macroventuria anomochaeta, fungi
Malassezia globosa, fungi
Malassezia pachydermatis, fungi
Malassezia restricta, fungi
Malassezia sympodialis, fungi
Marasmius oreades, fungi
Marssonina brunnea, fungi
Meira miltonrushii, fungi
Melampsora larici-populina, fungi
Metarhizium acridum, fungi
Metarhizium album, fungi
Metarhizium brunneum, fungi
Metarhizium majus, fungi
Metarhizium robertsii, fungi
Metschnikowia bicuspidata, fungi
Meyerozyma guilliermondii, fungi
Microsporum canis, fungi
Millerozyma farinosa, fungi
Mitosporidium daphniae, fungi
Mixia osmundae, fungi
Moesziomyces antarcticus, fungi
Mollisia scopiformis, fungi
Moniliophthora perniciosa, fungi
Moniliophthora roreri, fungi
Morchella sextelata, fungi
Mycena indigotica, fungi
Mytilinidion resinicola, fungi
Nannizzia gypsea, fungi
Naumovozyma castellii, fungi
Naumovozyma dairenensis, fungi
Nematocida parisii, fungi
Neofusicoccum parvum, fungi
Neohortaea acidophila, fungi
Neurospora crassa, fungi
Neurospora tetrasperma, fungi
Nosema ceranae, fungi
Ogataea angusta, fungi
Ogataea haglerorum, fungi
Ogataea parapolymorpha, fungi
Ogataea polymorpha, fungi
Orbilia oligospora, fungi
Ordospora colligata, fungi
Paecilomyces variotii, fungi
Paracoccidioides brasiliensis, fungi
Paracoccidioides lutzii, fungi
Paraphaeosphaeria sporulosa, fungi
Parastagonospora nodorum, fungi
Penicilliopsis zonata, fungi
Penicillium arizonense, fungi
Penicillium digitatum, fungi
Penicillium expansum, fungi
Penicillium griseofulvum, fungi
Penicillium roqueforti, fungi
Penicillium rubens, fungi
Penicillium solitum, fungi
Pestalotiopsis fici, fungi
Phaeoacremonium minimum, fungi
Phanerochaete carnosa, fungi
Phialemoniopsis curvata, fungi
Phialophora attinorum, fungi
Phycomyces blakesleeanus, fungi
Pichia kudriavzevii, fungi
Pichia membranifaciens, fungi
Pleurotus ostreatus, fungi
Pneumocystis carinii, fungi
Pneumocystis jirovecii, fungi
Pneumocystis murina, fungi
Pochonia chlamydosporia, fungi
Podospora anserina, fungi
Postia placenta, fungi
Protomyces lactucae-debilis, fungi
Pseudocercospora fijiensis, fungi
Pseudogymnoascus destructans, fungi
Pseudogymnoascus verrucosus, fungi
Pseudomassariella vexata, fungi
Pseudomicrostroma glucosiphilum, fungi
Pseudovirgaria hyperparasitica, fungi
Pseudozyma flocculosa, fungi
Pseudozyma hubeiensis, fungi
Puccinia graminis, fungi
Punctularia strigosozonata, fungi
Purpureocillium lilacinum, fungi
Pyrenophora teres, fungi
Pyrenophora tritici-repentis, fungi
Pyricularia grisea, fungi
Pyricularia oryzae, fungi
Pyricularia pennisetigena, fungi
Ramularia collo-cygni, fungi
Rasamsonia emersonii, fungi
Rhinocladiella mackenziei, fungi
Rhizoctonia solani, fungi
